"gencode_id","ensembl_id","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSG00000179715.13","ENSG00000179715","PCED1B",0.0709975587367925,6.77896936243799,0.709779332748391,0.479259425414287,0.58490133647198,0.707494184490267
"ENSG00000219507.4","ENSG00000219507","FTH1P8",-0.0989850176636691,-1.44219124178953,-0.709309896651328,0.479570079550503,0.585185290976353,-0.706994204176992
"ENSG00000260886.2","ENSG00000260886","TAT-AS1",0.158085972993054,-3.56051592428941,0.708635071411454,0.479576497576285,0.585185290976353,0.706983876589996
"ENSG00000101972.19","ENSG00000101972","STAG2",-0.0242300566609144,7.88085795947149,-0.709015207297546,0.479582506839713,0.585185290976353,-0.706974206832621
"ENSG00000178538.10","ENSG00000178538","CA8",-0.124631165878524,2.74405569488273,-0.709282240328669,0.479645541616678,0.585225429280573,-0.70687277891706
"ENSG00000184588.18","ENSG00000184588","PDE4B",-0.0735801333301797,6.68199492470999,-0.708857650268075,0.479727856057963,0.585289084579169,-0.706740339452125
"ENSG00000224536.2","ENSG00000224536","CSRP1-AS1",0.0467020823253054,2.5157347189008,0.708834491633131,0.479775097193821,0.585309943592135,0.706664336629036
"ENSG00000047578.13","ENSG00000047578","KATNIP",-0.0324637130519529,5.5946388368421,-0.708666687976635,0.480055707613446,0.585615484999075,-0.706212967062626
"ENSG00000162604.12","ENSG00000162604","TM2D1",-0.0219106509630454,5.18925469678598,-0.70812733265298,0.480155286327917,0.585700162999696,-0.706052826552398
"ENSG00000280106.1","ENSG00000280106","ENSG00000280106",0.0776072940907913,-0.0853309686171727,0.707564159060199,0.480468832838428,0.586029085617829,0.705548705497977
"ENSG00000120705.13","ENSG00000120705","ETF1",-0.0484072917305981,6.99067187196615,-0.7076159304712,0.480485298606161,0.586029085617829,-0.705522236741247
"ENSG00000162512.16","ENSG00000162512","SDC3",0.144620245686832,2.37452398129932,0.70766905355511,0.480522224912271,0.586037311797096,0.705462879422574
"ENSG00000254907.1","ENSG00000254907","ENSG00000254907",-0.145969611931453,-1.76097884932978,-0.707517885803615,0.480620945779531,0.586120895879987,-0.705304202425946
"ENSG00000261766.1","ENSG00000261766","ENSG00000261766",0.0831944160901591,-1.82027430161857,0.707088272915608,0.480670604182164,0.586144641173465,0.705224391705997
"ENSG00000224046.2","ENSG00000224046","DMTF1-AS1",-0.0988370389542589,-2.31452306437387,-0.706001455980469,0.480911164800365,0.586373908408449,-0.704837827530449
"ENSG00000269237.1","ENSG00000269237","ENSG00000269237",-0.0893175854430444,0.666127711028103,-0.707444077345816,0.480919013823173,0.586373908408449,-0.704825216471406
"ENSG00000229852.4","ENSG00000229852","KHDC1-AS1",-0.0775427502386803,1.86212102565973,-0.707524543861401,0.480996076222181,0.586431044330409,-0.704701405932417
"ENSG00000235726.7","ENSG00000235726","ENSG00000235726",0.188954112768029,-3.12935946837545,0.706812627379046,0.481230557132613,0.586680085882084,0.704324748964831
"ENSG00000223745.8","ENSG00000223745","CCDC18-AS1",-0.0429437691717164,6.4038502453359,-0.706191788006705,0.481442418566496,0.586901521930289,-0.703984512563409
"ENSG00000224858.5","ENSG00000224858","RPL29P11",-0.18701736205844,-1.84005766088959,-0.705584093747934,0.481654882301937,0.587123664364161,-0.70364339072481
"ENSG00000166947.15","ENSG00000166947","EPB42",0.282539027435298,3.6095332947339,0.705472341161006,0.481910530190423,0.587398415863619,0.703233042929756
"ENSG00000019995.6","ENSG00000019995","ZRANB1",0.0615766524412708,5.56505645163247,0.704989645617988,0.482110786685629,0.587605620806909,0.702911688148191
"ENSG00000163737.4","ENSG00000163737","PF4",0.145788476713578,4.46344997402997,0.705036973382783,0.482229449060257,0.587713357544753,0.702721302995588
"ENSG00000280571.2","ENSG00000280571","ENSG00000280571",0.0699656466407934,-1.39613819074622,0.703429901111044,0.48250873581537,0.587988035301266,0.702273308189333
"ENSG00000105700.11","ENSG00000105700","KXD1",0.0197712473686217,6.18593326664966,0.704547844894867,0.482515391383343,0.587988035301266,0.702262633928672
"ENSG00000196172.9","ENSG00000196172","ZNF681",0.0829498198532013,1.03752280555603,0.704222996303432,0.48266269909512,0.588130632465011,0.702026400955669
"ENSG00000265008.1","ENSG00000265008","ENSG00000265008",0.093809130695846,-2.07133839043718,0.70324064267082,0.482850876358894,0.588323008675995,0.701724683680478
"ENSG00000231989.5","ENSG00000231989","PPP1R2B",-0.0884290313497535,-2.44836391699061,-0.70280453813832,0.482897679156421,0.588343115779646,-0.701649651524299
"ENSG00000268400.5","ENSG00000268400","ENSG00000268400",0.061615885892687,-0.897119412781901,0.703197594459423,0.483070943739558,0.588517286647697,0.70137191584915
"ENSG00000197442.10","ENSG00000197442","MAP3K5",0.0324161184893142,7.35232444229883,0.7034407196076,0.483173021514144,0.588604715398716,0.701208314890341
"ENSG00000169855.20","ENSG00000169855","ROBO1",0.143108787035315,-0.971192664008711,0.702943597400175,0.483390969159716,0.58882323928644,0.700859071053692
"ENSG00000177706.9","ENSG00000177706","FAM20C",-0.101811316031211,4.55926399555762,-0.703078797311378,0.483457100022839,0.58882323928644,-0.700753118488303
"ENSG00000236383.8","ENSG00000236383","CCDC200",0.0823367678094045,-0.185312262035428,0.702846537310128,0.483490504978984,0.58882323928644,0.700699601221545
"ENSG00000227082.3","ENSG00000227082","LINC02798",0.0890318971870856,1.23435432659842,0.702938535616297,0.48350567003754,0.58882323928644,0.700675306312867
"ENSG00000171044.11","ENSG00000171044","XKR6",-0.0674508558798968,4.86045154955004,-0.703310834693063,0.483509111365335,0.58882323928644,-0.700669793253283
"ENSG00000167272.11","ENSG00000167272","POP5",-0.032675592230083,3.56340842829079,-0.703004733510389,0.483557597135657,0.58882323928644,-0.700592120573722
"ENSG00000101353.15","ENSG00000101353","MROH8",-0.0509005154830166,0.909862276940638,-0.702986988746922,0.483564679078208,0.58882323928644,-0.700580775878197
"ENSG00000116001.17","ENSG00000116001","TIA1",0.0541254615624606,-0.277334762873949,0.702332932754558,0.483729009859981,0.588986403991424,0.700317556655883
"ENSG00000132334.17","ENSG00000132334","PTPRE",-0.0641811912276235,8.53817084135277,-0.702362326228307,0.483837584426737,0.589081663958738,-0.700143672379763
"ENSG00000210082.2","ENSG00000210082","MT-RNR2",0.0536575947909771,12.0971792387724,0.702222718231643,0.483878929927202,0.589095064417611,0.700077462323698
"ENSG00000163297.18","ENSG00000163297","ANTXR2",0.0416144295924036,6.69979995913434,0.702073120068294,0.484057579182452,0.589275612224807,0.699791411391943
"ENSG00000162714.13","ENSG00000162714","ZNF496",-0.0530620574177973,4.7340826077859,-0.701842819161089,0.484095626076642,0.589281356870551,-0.6997304985814
"ENSG00000144369.13","ENSG00000144369","FAM171B",-0.10148208241067,-0.489861577697435,-0.701865407247869,0.484145819820948,0.589281356870551,-0.699650142720737
"ENSG00000288049.1","ENSG00000288049","ENSG00000288049",-0.113281383955136,-2.21879373945857,-0.702027814043479,0.484153344293964,0.589281356870551,-0.699638097077024
"ENSG00000064547.14","ENSG00000064547","LPAR2",0.0653537477107607,5.92470401672193,0.701553570149406,0.484249044542456,0.589360893686904,0.699484903030714
"ENSG00000006831.10","ENSG00000006831","ADIPOR2",0.0247296553037107,6.24058303901215,0.701327836204908,0.48447304725357,0.589596562740368,0.699126390467184
"ENSG00000166250.12","ENSG00000166250","CLMP",-0.151083883246595,-3.18537015414319,-0.700967259760466,0.484755234907721,0.589868768618681,-0.698674881742499
"ENSG00000284057.1","ENSG00000284057","ENSG00000284057",0.0440436838605187,1.98118457220313,0.700807459513585,0.484757477511886,0.589868768618681,0.698671294078985
"ENSG00000221963.6","ENSG00000221963","APOL6",0.075548462613566,7.62635904579101,0.700619788347266,0.484816808887664,0.589903996626881,0.698576380455228
"ENSG00000250159.7","ENSG00000250159","PKD2L2-DT",-0.0626051991142277,1.36044939213637,-0.700812668467179,0.484936466964268,0.590012618525295,-0.698384980107116
"ENSG00000278175.4","ENSG00000278175","GLIDR",-0.0757951455920208,0.374311293255258,-0.701077320134061,0.48519543209467,0.590257991842599,-0.697970837252662
"ENSG00000166946.14","ENSG00000166946","CCNDBP1",0.0638334737861243,6.90551111568123,0.699928200561239,0.485198939475703,0.590257991842599,0.697965228991855
"ENSG00000269179.1","ENSG00000269179","ENSG00000269179",-0.171519462856502,-0.979066994076029,-0.699490883757949,0.485631333285889,0.590746999023437,-0.697274004467063
"ENSG00000227500.10","ENSG00000227500","SCAMP4",-0.0280097449042664,5.07545603935601,-0.699485370186317,0.485727096464887,0.590826475728792,-0.697120962561431
"ENSG00000162374.18","ENSG00000162374","ELAVL4",-0.183469035307928,-3.17066628809131,-0.698881976670768,0.485981573184312,0.591098985625143,-0.696714355273988
