"gencode_id","ensembl_id","gene_id","WHO_temp_severity.L","WHO_temp_severity.Q","WHO_temp_severity.C","AveExpr","F","P.Value","adj.P.Val","F.std"
"ENSG00000155438.12","ENSG00000155438","NIFK",-0.171073995163006,-0.0809419324047817,0.017559546949972,4.49183858443611,1.62609136787493,0.190095599627583,0.39888668436556,1.58725865490003
"ENSG00000228843.2","ENSG00000228843","ENSG00000228843",0.751423753014798,0.116153919510169,0.0264861418264036,-2.79110375314638,1.62609119083407,0.190095640118744,0.39888668436556,1.58725848723175
"ENSG00000117318.9","ENSG00000117318","ID3",-0.512379427045477,-0.11126450318915,-0.246452689584682,0.63538980153946,1.62543943220641,0.190244760668398,0.399159120721123,1.5866412255952
"ENSG00000134001.15","ENSG00000134001","EIF2S1",0.109458372249855,-0.111206017782071,-0.02489181861755,5.29829066303679,1.62522192331421,0.190294551156066,0.399223115126806,1.58643522600514
"ENSG00000107779.14","ENSG00000107779","BMPR1A",-0.421052734847921,-0.0376998569876462,-0.0698497955591802,2.53056697009262,1.62448838631708,0.19046255941087,0.399535083069873,1.58574049153237
"ENSG00000105523.4","ENSG00000105523","FAM83E",-0.360957717363446,-0.645467397235413,-0.142021210809482,-2.76034167831742,1.6241816949746,0.190532845882943,0.399608682443405,1.58545001802336
"ENSG00000271781.1","ENSG00000271781","ENSG00000271781",0.343571070104484,-0.582995994895465,0.139322805705306,-3.37116579938943,1.62416679170255,0.190536261999977,0.399608682443405,1.58543590275382
"ENSG00000089012.14","ENSG00000089012","SIRPG",-0.614080548265489,-0.146861754458324,-0.0384517877759873,3.17183757035458,1.62405331499406,0.190562274981388,0.399622742224624,1.58532842581534
"ENSG00000180287.17","ENSG00000180287","PLD5",-0.545567770184321,0.277075276449331,0.0875032692112177,-3.44318198986997,1.62384263104728,0.190610580458375,0.399683543380601,1.58512888003243
"ENSG00000234608.8","ENSG00000234608","MAPKAPK5-AS1",-0.230508338828534,-0.141617634300802,-0.00682974124618822,3.9748531033448,1.62358965136183,0.190668599050943,0.399764697189577,1.58488927253299
"ENSG00000272677.1","ENSG00000272677","HNRNPD-DT",-0.396982742198832,-0.18409027070342,0.0254228390545752,0.733040142957309,1.62342591442746,0.190706159692062,0.399776148177189,1.58473418935432
"ENSG00000262050.1","ENSG00000262050","ENSG00000262050",-0.0807686479237856,-0.655044137142654,0.322893091916465,-3.62637250682341,1.62339743364983,0.190712693803314,0.399776148177189,1.58470721373681
"ENSG00000123965.13","ENSG00000123965","PMS2P5",-0.0592893124351005,0.439398097554234,-0.239451529953312,-1.80897684058063,1.62279519502705,0.190850910945405,0.400025364890226,1.58413679586797
"ENSG00000147140.17","ENSG00000147140","NONO",-0.0693721309729671,0.0307844068956883,0.0325215824795597,7.83778432501827,1.62241891410694,0.190937318470485,0.400165948664826,1.583780390351
"ENSG00000215458.8","ENSG00000215458","AATBC",-0.678729305858613,-0.178398658012209,0.0415159945672862,4.49162609368816,1.62167924254795,0.191107283239964,0.400475888845112,1.58307977455255
"ENSG00000211964.3","ENSG00000211964","IGHV3-48",1.02222074463929,0.119560125330406,-0.233522791568404,1.8714499467305,1.62146731752142,0.191156007078353,0.400475888845112,1.58287903602051
"ENSG00000174527.10","ENSG00000174527","MYO1H",0.634708900702581,0.861841808137874,0.243840714417648,-3.33633262368725,1.62140289030821,0.191170821956263,0.400475888845112,1.58281800930174
"ENSG00000063046.18","ENSG00000063046","EIF4B",-0.178027330148614,0.0494426503748994,0.10057585130261,8.56092337999564,1.62136677691368,0.191179126625148,0.400475888845112,1.58278380192448
"ENSG00000254689.3","ENSG00000254689","LINC02235",-0.149363146004305,-0.121619684770471,0.309182091497986,-1.49436683303875,1.62135446924829,0.19118195698636,0.400475888845112,1.58277214383118
"ENSG00000204237.5","ENSG00000204237","OXLD1",0.0513129696655464,-0.0571315103957931,-0.0463098166349952,4.29995682076639,1.62119905570037,0.191217700498859,0.400510224625483,1.58262493222825
"ENSG00000087206.17","ENSG00000087206","UIMC1",0.128486241319304,-0.0435722574825657,0.006870135071095,6.08185823104967,1.62086870144433,0.19129369993903,0.400628861965002,1.58231200965186
"ENSG00000237840.6","ENSG00000237840","FAM21FP",0.284981803118758,0.353251136127656,0.119154437736911,0.0517423715394738,1.62039862415543,0.191401893395559,0.400758993210655,1.58186673029459
"ENSG00000285444.1","ENSG00000285444","ENSG00000285444",0.639572921292733,-0.0479562913600525,0.213092166204313,0.368885422475406,1.62036023799424,0.19141073099335,0.400758993210655,1.58183036877885
"ENSG00000118260.15","ENSG00000118260","CREB1",-0.11825426865902,-0.033464848029738,0.065333261775448,6.48290518730796,1.62034635345537,0.191413927710056,0.400758993210655,1.58181721655573
"ENSG00000006634.8","ENSG00000006634","DBF4",-0.101069118423397,0.260116509350397,-0.0491749994109917,4.52344421016175,1.62018856268858,0.191450260390229,0.400778523366664,1.58166774772205
"ENSG00000026103.22","ENSG00000026103","FAS",0.175376206470187,-0.0758633809311806,-0.0256789015681556,5.85968927358327,1.62013764554586,0.191461985916419,0.400778523366664,1.58161951578245
"ENSG00000285476.1","ENSG00000285476","ENSG00000285476",-0.82374555301516,-0.114124593854009,-0.0716325164758662,-0.35794503402451,1.61986073985602,0.191525765636431,0.400838502317597,1.58135721163175
"ENSG00000286724.1","ENSG00000286724","ENSG00000286724",0.286259457452612,0.0126080653335718,-0.0453949189630224,1.29909121994803,1.61984507118925,0.191529375213506,0.400838502317597,1.58134236911216
"ENSG00000230105.1","ENSG00000230105","ENSG00000230105",-0.0591381361030139,0.327253062981809,-0.426408355973133,-2.50898375888628,1.61941763848018,0.191627867771908,0.400969713039135,1.58093746999609
"ENSG00000132570.15","ENSG00000132570","PCBD2",-0.0769272942180167,0.0917546680780417,0.0138224753765377,4.16111238699901,1.61933408375706,0.191647126833116,0.400969713039135,1.58085831941584
"ENSG00000105810.10","ENSG00000105810","CDK6",-0.245886049483095,-0.0965703484394712,0.00457681514620829,5.82682732332876,1.61925495029295,0.191665368527727,0.400969713039135,1.58078335683036
"ENSG00000271853.5","ENSG00000271853","ENSG00000271853",-0.135570713030535,0.142228693773934,0.113001228720807,-1.09022302657094,1.61923673550543,0.19166956760225,0.400969713039135,1.58076610205716
"ENSG00000126883.17","ENSG00000126883","NUP214",0.0431154934335009,0.108136382622213,0.0579980058269845,6.65464707267847,1.61908445205145,0.191704677134925,0.401002627651546,1.58062184428963
"ENSG00000259462.3","ENSG00000259462","CPEB1-AS1",0.126382491389895,-0.29282382490733,-0.682361915806306,-4.46095990539035,1.61870450767411,0.191792301752153,0.401126240828104,1.58026192037742
"ENSG00000064787.13","ENSG00000064787","BCAS1",0.212998033459388,0.661843664522027,0.015329894662811,-1.61846639082641,1.61866014361903,0.191802535718734,0.401126240828104,1.58021989368075
"ENSG00000148690.12","ENSG00000148690","FRA10AC1",-0.122485667461271,0.0277385392496463,-0.044778330845268,4.64126583388102,1.61845133100227,0.191850711984045,0.401186453998363,1.58002208162841
"ENSG00000162461.8","ENSG00000162461","SLC25A34",-0.384863488111496,-0.201656178565236,-0.118552244605371,1.51545956090612,1.61821184233228,0.19190598002137,0.401257941339924,1.57979520773978
"ENSG00000203496.9","ENSG00000203496","ENSG00000203496",0.790779878320717,0.622241041260186,-0.280702260000342,-4.0008934287083,1.61805561554052,0.191942041542336,0.401257941339924,1.57964720894701
"ENSG00000135925.9","ENSG00000135925","WNT10A",0.766161977637981,0.190077927054691,-0.0912445680619834,0.184561372182703,1.61797498469766,0.191960655951417,0.401257941339924,1.57957082436206
"ENSG00000231964.1","ENSG00000231964","ENSG00000231964",0.59085623516702,0.0964364581129349,-0.0127258325440732,-0.301104132427501,1.61796721141712,0.19196245058014,0.401257941339924,1.57956346043358
"ENSG00000218537.1","ENSG00000218537","MIF-AS1",0.0598257437786917,0.222329245689801,-0.177404948781635,1.81065278081953,1.61766046799125,0.192033281777507,0.401365461489325,1.57927286889813
"ENSG00000011376.12","ENSG00000011376","LARS2",-0.0917981388073954,0.0516324683014446,-0.00150634951298613,4.16962405916852,1.6173896748445,0.192095832471502,0.401455654733939,1.57901633195673
"ENSG00000273419.1","ENSG00000273419","ENSG00000273419",-0.545242812836068,-0.195684223534163,-0.451312164930484,-2.23470056161004,1.61718879459185,0.192142246604688,0.40148601022017,1.57882602564021
"ENSG00000136715.19","ENSG00000136715","SAP130",0.021269220146434,0.153094440232903,0.0506504988209019,5.6832888647934,1.61715889502048,0.192149155935001,0.40148601022017,1.57879769980417
"ENSG00000254186.3","ENSG00000254186","ENSG00000254186",0.452223914214749,0.247664103913905,-0.124208091947873,-1.68982723801103,1.61659571919025,0.192279341863782,0.401688728179698,1.57826416045776
"ENSG00000231494.1","ENSG00000231494","RPL21P35",-0.215405285578803,0.146007256165311,-0.7963048584641,-3.30690421477752,1.6164511413416,0.192312776733775,0.401688728179698,1.57812718909537
"ENSG00000203663.4","ENSG00000203663","OR2L2",-1.17331954711297,-0.386487616422938,-0.0235137466206383,-2.80568725254649,1.61644874858356,0.192313330126691,0.401688728179698,1.57812492221835
"ENSG00000211934.3","ENSG00000211934","IGHV1-2",0.781895684450434,-0.68555924718844,-0.180290055017611,2.81389010213358,1.61640342952744,0.19232381172848,0.401688728179698,1.57808198732323
"ENSG00000010319.7","ENSG00000010319","SEMA3G",0.40196923603197,-0.142961757292759,-0.0305688583230854,-0.00444229799901792,1.61616412527981,0.192379168241814,0.401763800800462,1.57785527130843
"ENSG00000119408.17","ENSG00000119408","NEK6",0.111878557807882,0.226956551100314,0.183787621555027,5.62933205564799,1.61594535982876,0.192429787078072,0.401828965126403,1.57764801195698
"ENSG00000278989.1","ENSG00000278989","ENSG00000278989",-0.208548387379335,-0.320281373384295,0.528422128905724,-2.87217228863992,1.61585536695731,0.192450613713217,0.401831910957299,1.57756275183705
"ENSG00000203812.2","ENSG00000203812","ENSG00000203812",0.55287476152188,-0.258212850042661,-0.269696222149478,-3.25890593786215,1.61551102974313,0.192530322113504,0.401957787396457,1.57723652084901
"ENSG00000253607.1","ENSG00000253607","ENSG00000253607",0.683540340836917,0.217521183260427,-0.43961856885631,-2.37349665152359,1.61518221421313,0.192606467147185,0.402076199725452,1.5769249915687
"ENSG00000272758.6","ENSG00000272758","WDR5B-DT",-0.14771518273592,0.116707799962732,0.00778022205222745,2.76547532831721,1.61481825594727,0.192690784100003,0.402211645762345,1.57658016271928
"ENSG00000179295.18","ENSG00000179295","PTPN11",0.0588140162797663,0.140981466070762,0.0624774003769364,6.42715987552481,1.61448904639323,0.192767081526731,0.402330326671766,1.5762682522911
"ENSG00000106723.17","ENSG00000106723","SPIN1",-0.0600965053131427,0.0594768038720949,0.0371122410834636,5.0991364556001,1.61418964075339,0.192836496851193,0.402434621239517,1.57598457642375
"ENSG00000029639.11","ENSG00000029639","TFB1M",-0.317413956477035,-0.0229342256476254,-0.0812725161085724,3.76572195860168,1.61399580341333,0.192881449649359,0.402487848552443,1.57580092100768
"ENSG00000211779.3","ENSG00000211779","TRAV5",-0.990059289925921,-0.67430525366559,-0.205484443726825,-1.85811938107928,1.61376808166661,0.192934273455864,0.40253165735914,1.57558515942211
"ENSG00000260017.1","ENSG00000260017","ENSG00000260017",0.575039191996078,0.120308024172107,-0.240025092017556,-0.953795396550196,1.61373760833132,0.192941343303183,0.40253165735914,1.57555628643999
"ENSG00000125458.7","ENSG00000125458","NT5C",-0.103937224791817,-0.130884117126719,-0.0603348123576444,4.21758004915604,1.61314951170703,0.193077831193061,0.40277580832291,1.57499906834695
"ENSG00000215472.10","ENSG00000215472","RPL17-C18orf32",-0.275032137567554,-0.396338326106198,0.0386418402541877,-2.14644585688392,1.61277062619232,0.193165813697255,0.402918401505089,1.57464007025513
"ENSG00000172009.15","ENSG00000172009","THOP1",0.00372978792619558,-0.0741507058526959,-0.121588369637177,4.44841134416414,1.61268749689459,0.193185122638916,0.402918401505089,1.57456130369339
"ENSG00000110876.10","ENSG00000110876","SELPLG",0.244075807065751,-0.076574568438935,0.00684926844580636,8.32584662170429,1.61220637804408,0.193296911480326,0.403110931075858,1.574105429935
"ENSG00000169439.12","ENSG00000169439","SDC2",0.621812902732405,0.681602141053207,0.546775798064138,1.43866692364067,1.61198767618972,0.193347747823873,0.403127697368171,1.57389820109445
"ENSG00000156711.17","ENSG00000156711","MAPK13",0.0767846670216855,-0.195639560565257,-0.0168793264858658,5.54387610400418,1.61194933019943,0.193356662516099,0.403127697368171,1.57386186655046
"ENSG00000180530.11","ENSG00000180530","NRIP1",-0.254858418613242,0.178314149770922,0.174746925229575,3.7354048142887,1.61192040753757,0.193363386730471,0.403127697368171,1.57383446099896
"ENSG00000120162.10","ENSG00000120162","MOB3B",-0.102776880180132,0.0810447637385284,0.150179578858339,3.60638957287396,1.61119338606024,0.193532485477125,0.403439597042162,1.57314556528915
"ENSG00000225411.3","ENSG00000225411","ENSG00000225411",0.153777356448544,-0.299879316164749,0.0285349702822749,1.52483921601906,1.61110086033784,0.193554016339784,0.403443843505706,1.5730578904095
"ENSG00000141985.9","ENSG00000141985","SH3GL1",0.165699018691157,0.00689375199639958,0.0430902399676712,6.15753817118742,1.6106866730004,0.193650426545776,0.403597190465955,1.57266541405039
"ENSG00000226664.1","ENSG00000226664","ENSG00000226664",-1.13078168490596,-0.37276380871124,-0.341245522322328,-2.84739456140688,1.61054514852654,0.193683379722129,0.403597190465955,1.57253130669131
"ENSG00000229267.3","ENSG00000229267","SNHG31",-0.0372053439276412,0.0114425065775605,-0.408650314944111,-1.4859606695566,1.61051799117867,0.193689703774314,0.403597190465955,1.57250557254622
"ENSG00000224875.2","ENSG00000224875","EML4-AS1",-0.598189689259715,-0.276798107099693,0.0683339199116829,-0.489616418491483,1.61044977432686,0.193705590109119,0.403597190465955,1.5724409305419
"ENSG00000109667.12","ENSG00000109667","SLC2A9",0.0910171833496265,-0.0122378455063592,0.201177452058933,4.67168301868187,1.60980154567992,0.193856612089909,0.403871194263414,1.57182666379808
"ENSG00000038210.14","ENSG00000038210","PI4K2B",-0.251138711842108,0.0059475989510244,-0.121033865309192,5.61753932721941,1.60969391013915,0.193881699591625,0.40388280369887,1.57172466608511
"ENSG00000126467.11","ENSG00000126467","TSKS",-0.567271201134977,-0.0453694477044852,-0.216911279170201,-0.291286116902069,1.60951914633654,0.193922439880844,0.403927014470003,1.57155905536451
"ENSG00000100416.15","ENSG00000100416","TRMU",-0.165572070093119,-0.0309736318526562,-0.0456905001960566,5.28408998671376,1.60918840618133,0.193999563333894,0.404041263715815,1.57124563452581
"ENSG00000197256.11","ENSG00000197256","KANK2",0.580267219446996,0.621619516261433,0.0823390148103486,1.81257913876801,1.60911649645256,0.194016335466166,0.404041263715815,1.57117748987591
"ENSG00000198755.11","ENSG00000198755","RPL10A",-0.266027221833508,-0.114678420518126,0.0258087732840931,8.44315533366533,1.60866902033903,0.194120735558851,0.404178863890992,1.57075343890469
"ENSG00000160094.15","ENSG00000160094","ZNF362",0.000511367860939231,0.112927903490081,0.0695506061867771,5.28824516087568,1.608665880685,0.194121468258429,0.404178863890992,1.57075046358561
"ENSG00000138796.18","ENSG00000138796","HADH",-0.178553376078082,-0.0471741135260454,-0.0818716013635307,4.04286841233986,1.60850754531903,0.19415842235731,0.404215140238093,1.5706004153282
"ENSG00000137825.11","ENSG00000137825","ITPKA",0.168970325219576,-0.374443975990065,-0.413542941325804,-2.90018809189996,1.60837491059577,0.194189383356411,0.404238933609362,1.57047472190527
"ENSG00000125787.11","ENSG00000125787","GNRH2",0.281529811327247,-0.219673012142237,0.0236275636974855,-2.20265285045585,1.60803704539187,0.19426827287605,0.40436248370137,1.57015453579332
"ENSG00000225231.2","ENSG00000225231","LINC02470",0.737925918976577,-0.166367754170845,0.0427006978632659,-0.983699315476876,1.60783281456345,0.194315974506382,0.404421098992768,1.56996098961852
"ENSG00000038532.16","ENSG00000038532","CLEC16A",-0.0656255140502013,0.0383314217763942,-0.0146280807436714,6.05996550749605,1.60757673940908,0.19437580118771,0.404504935282137,1.56971830940837
"ENSG00000103313.13","ENSG00000103313","MEFV",0.33370859151482,-0.140496053393509,0.0484275442192129,6.94557033794741,1.60745151895758,0.194405062812922,0.404525153828296,1.5695996382483
"ENSG00000102901.13","ENSG00000102901","CENPT",-0.16206381758627,-0.0764786863769418,-0.0760795502183249,5.55282761604361,1.60728934854968,0.194442965231599,0.404563346580192,1.5694459488907
"ENSG00000141429.14","ENSG00000141429","GALNT1",0.0587003454617637,0.106245435165597,0.0735217691489304,6.15655609156932,1.60703484903663,0.194502461106724,0.404580663554159,1.56920475715437
"ENSG00000167193.8","ENSG00000167193","CRK",0.155531202617682,-0.07136685093485,0.011016932077646,5.68007058899529,1.60693961248295,0.194524729626694,0.404580663554159,1.56911449994652
"ENSG00000266469.2","ENSG00000266469","ENSG00000266469",0.154417572329611,0.265389410552043,0.162083944839501,0.4154078017163,1.60687266087713,0.194540385935835,0.404580663554159,1.5690510486503
"ENSG00000114853.15","ENSG00000114853","ZBTB47",0.284835845356837,0.028277138069683,0.0938626051683643,3.67070996546853,1.60686755868956,0.194541579107401,0.404580663554159,1.56904621320484
"ENSG00000132640.15","ENSG00000132640","BTBD3",0.110316045159883,-0.170379058169425,0.0729746506284628,3.55596012694986,1.60683569017349,0.19454903187529,0.404580663554159,1.56901601075298
"ENSG00000232160.7","ENSG00000232160","RAP2C-AS1",0.069246341787442,0.265697596468087,0.13154753185576,2.99646343783849,1.60671474418771,0.19457731878913,0.40459100613361,1.56890138742286
"ENSG00000152104.12","ENSG00000152104","PTPN14",-0.373881625625986,-0.835874176798896,-0.42480598627792,-4.33842508844061,1.60659262949229,0.194605883053518,0.40459100613361,1.56878565596916
"ENSG00000126353.3","ENSG00000126353","CCR7",-0.53712318344696,-0.00882533375899441,-0.250954669777775,5.00173769854074,1.60656369000157,0.194612652979324,0.40459100613361,1.56875822914314
"ENSG00000082438.18","ENSG00000082438","COBLL1",0.60224248712757,0.368715381753467,-0.0596442628552059,3.24508200724128,1.60643490577398,0.194642782712696,0.40461300030353,1.56863617610692
