"gencode_id","ensembl_id","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSG00000102384.14","ENSG00000102384","CENPI",-0.208249547904878,-0.419563507619017,-0.560038690025211,0.582356533901762,0.790756194473657,-0.549945822368735
"ENSG00000196511.14","ENSG00000196511","TPK1",-0.0554815393641113,5.36920754174127,-0.566415932133499,0.582430969917814,0.790756194473657,-0.549837303764056
"ENSG00000169495.5","ENSG00000169495","HTRA4",-0.175590897816886,-0.9432631031896,-0.56620977051495,0.582437516150125,0.790756194473657,-0.549827760468004
"ENSG00000176903.5","ENSG00000176903","PNMA1",0.0383227265795033,4.63505038713204,0.566461776314327,0.582507995572556,0.790756194473657,0.54972501659942
"ENSG00000285589.1","ENSG00000285589","ENSG00000285589",-0.0568425612050558,4.04057198437359,-0.566002449210438,0.582524084691371,0.790756194473657,-0.549701562931512
"ENSG00000188981.11","ENSG00000188981","MSANTD1",-0.0828805145806365,0.633804455023074,-0.565989542026487,0.582545094961901,0.790756194473657,-0.549670935984888
"ENSG00000150540.14","ENSG00000150540","HNMT",-0.0770179881755018,4.45653102974484,-0.566100581941189,0.582555627339357,0.790756194473657,-0.549655582994294
"ENSG00000141497.14","ENSG00000141497","ZMYND15",0.129711475953388,3.35905963783572,0.566459890540972,0.582571476368623,0.790756194473657,0.549632480192804
"ENSG00000111678.11","ENSG00000111678","C12orf57",-0.0803962367466928,4.92522347539657,-0.56653659631161,0.582620534604309,0.790756194473657,-0.54956097087866
"ENSG00000273118.1","ENSG00000273118","ENSG00000273118",-0.109174325948618,2.17780100741754,-0.559631587499244,0.582628425063709,0.790756194473657,-0.549549469680916
"ENSG00000260645.2","ENSG00000260645","ENSG00000260645",0.198123579124578,-2.35106800631769,0.566572192486701,0.58269914428856,0.79078948475784,0.549446392009196
"ENSG00000273265.1","ENSG00000273265","CNNM3-DT",-0.104066992352119,-1.00554178883917,-0.566536561684669,0.582782391210178,0.790823368967161,-0.549325061919883
"ENSG00000184588.18","ENSG00000184588","PDE4B",0.123406890840683,6.64634341027349,0.565812469493048,0.582839846254585,0.790823368967161,0.549241327495788
"ENSG00000042493.16","ENSG00000042493","CAPG",0.0932912576021399,6.71907562115374,0.565822244447091,0.582862690982923,0.790823368967161,0.549208034880433
"ENSG00000228172.5","ENSG00000228172","ENSG00000228172",-0.0984828382230498,-0.346996663466331,-0.559169176097908,0.582937333274356,0.790861965738725,-0.54909925966893
"ENSG00000266490.1","ENSG00000266490","ENSG00000266490",0.169470281276618,-1.57001304005144,0.566942107146382,0.583059737099066,0.790910487025689,0.548920896275797
"ENSG00000285953.1","ENSG00000285953","ENSG00000285953",-0.0914253928477887,1.74782738858902,-0.566042861970166,0.583065493969114,0.790910487025689,-0.548912507957508
"ENSG00000198863.7","ENSG00000198863","RUNDC1",0.031261229234138,4.05295296908301,0.565238002963907,0.583169060394115,0.790980058233615,0.548761608223091
"ENSG00000139239.7","ENSG00000139239","RPL14P1",0.0750663583990024,1.20465588296739,0.558762335516387,0.583209186628675,0.790980058233615,0.548703146320022
"ENSG00000079263.19","ENSG00000079263","SP140",-0.0724227458885084,5.97722837125363,-0.565228275224008,0.583294486625721,0.791033080721827,-0.54857887474994
"ENSG00000204634.13","ENSG00000204634","TBC1D8",0.0681205410972171,6.80630917495722,0.565082056875786,0.58336965168724,0.791072351436479,0.548469375551783
"ENSG00000261183.5","ENSG00000261183","SPINT1-AS1",-0.186460187296083,-0.711912073243357,-0.564653013376044,0.583748596906653,0.791480433951449,-0.54791743462655
"ENSG00000164045.12","ENSG00000164045","CDC25A",0.278715730353037,-1.3484974220735,0.557933749122225,0.583763051372953,0.791480433951449,0.547896384726819
"ENSG00000235007.3","ENSG00000235007","ENSG00000235007",-0.135311719285582,0.133136051834897,-0.564033878813491,0.583814779300422,0.791487885779476,-0.547821055834276
"ENSG00000111206.13","ENSG00000111206","FOXM1",0.221865543552476,0.979411889828246,0.557581653367016,0.583998488622221,0.791674251739046,0.547553553903996
"ENSG00000287426.1","ENSG00000287426","ENSG00000287426",0.128356404431526,-0.831372182214026,0.563789274318534,0.584131843065864,0.791792332010102,0.547359399017644
"ENSG00000247081.8","ENSG00000247081","BAALC-AS1",-0.169448918945655,-0.908833097055445,-0.562754065645369,0.584309920849527,0.791913703880038,-0.547100162196126
"ENSG00000152056.17","ENSG00000152056","AP1S3",-0.109413262845132,0.846449319729392,-0.562745562215418,0.584313896461019,0.791913703880038,-0.547094375117356
"ENSG00000286733.1","ENSG00000286733","ENSG00000286733",-0.215782684628142,-2.28119438786458,-0.563411608955619,0.584467718891513,0.791985866172757,-0.546870478340043
"ENSG00000204381.12","ENSG00000204381","LAYN",-0.129021884235973,-0.394004963090478,-0.565232921534474,0.584479050889894,0.791985866172757,-0.546853985094402
"ENSG00000186407.7","ENSG00000186407","CD300E",0.10813143441925,8.25971023188835,0.563320716088934,0.584505924012429,0.791985866172757,0.546814872992762
"ENSG00000205903.7","ENSG00000205903","ZNF316",-0.0661184892258691,6.85513110438468,-0.556332722310884,0.58483400294272,0.792367689963546,-0.546337442622421
"ENSG00000104835.15","ENSG00000104835","SARS2",-0.121972421128302,-1.40394544264789,-0.562779344693703,0.585080323323095,0.792638690772445,-0.545979071600022
"ENSG00000139734.19","ENSG00000139734","DIAPH3",0.233573061049892,-0.462945967234194,0.555816999936744,0.585179188576743,0.792667213203839,0.545835252463066
"ENSG00000128050.9","ENSG00000128050","PAICS",0.045510834959334,4.59544239206468,0.555794906944639,0.58519397825253,0.792667213203839,0.545813738914595
"ENSG00000240288.8","ENSG00000240288","GHRLOS",0.0513171439775151,2.07558268980258,0.561769450705984,0.585347592652342,0.792755387853864,0.545590301295349
"ENSG00000274460.1","ENSG00000274460","ENSG00000274460",-0.143334586291113,-0.323541061267369,-0.563315854344664,0.585351685622704,0.792755387853864,-0.545584348296663
"ENSG00000254999.4","ENSG00000254999","BRK1",0.0652690358768843,6.42274093147321,0.561896593961819,0.585466853821417,0.792848642415967,0.545416850455478
"ENSG00000276570.1","ENSG00000276570","ENSG00000276570",0.0581377213535478,2.5714918224324,0.562432490649899,0.585577286984742,0.792935470472102,0.545256253505159
"ENSG00000171657.6","ENSG00000171657","GPR82",-0.284032951223742,-1.93396722131805,-0.561668782272913,0.585765223410101,0.793080994996009,-0.544982980095174
"ENSG00000147383.11","ENSG00000147383","NSDHL",-0.0478780318580287,3.17238221585444,-0.56127624661394,0.585777405474564,0.793080994996009,-0.544965267880526
"ENSG00000144214.10","ENSG00000144214","LYG1",-0.1105763194943,1.13980887062069,-0.562517921181147,0.586071006976356,0.793406104914047,-0.544538435211893
"ENSG00000248905.10","ENSG00000248905","FMN1",-0.114132474781432,4.44732367112738,-0.561675223077318,0.586118926097646,0.793406104914047,-0.54446878065951
"ENSG00000054118.15","ENSG00000054118","THRAP3",0.0641796174945417,6.8567765915822,0.554303201901741,0.586193003637743,0.793406104914047,0.544361107799902
"ENSG00000101199.13","ENSG00000101199","ARFGAP1",-0.021969127018201,6.73839463201208,-0.560702745217774,0.586202910108515,0.793406104914047,-0.544346709068603
"ENSG00000078043.16","ENSG00000078043","PIAS2",-0.0881683938973776,5.11796133113123,-0.560286977750288,0.586575239651604,0.793766495685304,-0.543805622041759
"ENSG00000287200.1","ENSG00000287200","ENSG00000287200",0.227689429391012,-0.749170105960814,0.560376802300259,0.586590070530133,0.793766495685304,0.543784072400597
"ENSG00000237436.1","ENSG00000237436","CAMTA1-DT",-0.178121554858434,-2.2988390743728,-0.559897114895964,0.586727361937061,0.793766495685304,-0.543584596504734
"ENSG00000174373.17","ENSG00000174373","RALGAPA1",-0.0855267789049796,6.03233874687785,-0.559863307234228,0.586822374597805,0.793766495685304,-0.54344656166719
"ENSG00000134444.15","ENSG00000134444","RELCH",-0.0473430918087622,6.8328843185076,-0.559715618118099,0.586845498491215,0.793766495685304,-0.543412968733526
"ENSG00000243819.4","ENSG00000243819","RN7SL832P",0.266410704979453,-2.16591971857804,0.56124931306781,0.586860770708509,0.793766495685304,0.543390782555879
"ENSG00000237706.4","ENSG00000237706","TRIM51EP",-0.137590381180819,1.62465264854583,-0.559290573147437,0.586875127926307,0.793766495685304,-0.543369925855545
"ENSG00000102317.18","ENSG00000102317","RBM3",-0.0548999840776363,8.12231210835433,-0.553281855128487,0.586877515212494,0.793766495685304,-0.543366457872802
"ENSG00000170175.11","ENSG00000170175","CHRNB1",-0.0837954633182682,2.49016304871402,-0.560163922882375,0.586886466260781,0.793766495685304,-0.543353454847757
"ENSG00000173064.14","ENSG00000173064","HECTD4",-0.0811655441105526,7.13256593407139,-0.559530807259771,0.586944367351554,0.793782097247698,-0.543269345205317
"ENSG00000171811.14","ENSG00000171811","CFAP46",-0.326056503895225,-1.80569259871586,-0.560228915838655,0.587008219561168,0.79380574398793,-0.543176595164759
"ENSG00000049768.17","ENSG00000049768","FOXP3",-0.111969396110636,2.09347679806373,-0.558823888677243,0.587100009460073,0.793867163885668,-0.54304327175739
"ENSG00000198795.11","ENSG00000198795","ZNF521",-0.137201866393747,-0.432609970710246,-0.560870565038104,0.587195141698378,0.793900601086653,-0.542905103839279
"ENSG00000260081.2","ENSG00000260081","ENSG00000260081",0.151003582789068,-0.915653955003032,0.559712956485472,0.587249218350562,0.793900601086653,0.542826568748919
"ENSG00000235119.1","ENSG00000235119","ENSG00000235119",-0.159737823606818,-0.406602644780775,-0.558559295051071,0.587263855850548,0.793900601086653,-0.542805311400298
"ENSG00000115020.17","ENSG00000115020","PIKFYVE",-0.06723094686614,7.08049525458089,-0.558802781103866,0.58742460509635,0.794055210363167,-0.542571879011131
"ENSG00000250303.4","ENSG00000250303","LINC02762",-0.0924836948749527,1.72238463172962,-0.558771164533137,0.587553642100185,0.794166931371796,-0.542384519017371
"ENSG00000133116.8","ENSG00000133116","KL",0.197511715965214,-0.603315805779202,0.55819544540459,0.587622184638044,0.794196873845687,0.54228500391723
"ENSG00000114850.7","ENSG00000114850","SSR3",-0.0464198879139835,6.09194957161667,-0.558410040325115,0.587745507916792,0.794300844295507,-0.54210596762844
"ENSG00000125449.7","ENSG00000125449","ARMC7",-0.10375736612032,3.24769234257666,-0.551559200184715,0.588032956579107,0.794626585889518,-0.541688727458195
"ENSG00000214174.8","ENSG00000214174","AMZ2P1",0.0382375289720299,3.51414830500569,0.557293006415158,0.58850809859976,0.795141091441465,0.540999251537119
"ENSG00000066379.15","ENSG00000066379","POLR1H",0.0719473330630768,2.88596506631517,0.556762590705836,0.588521996330023,0.795141091441465,0.540979088490979
"ENSG00000285693.1","ENSG00000285693","ENSG00000285693",0.225872354386298,2.31601744486529,0.558597762953561,0.588553032169757,0.795141091441465,0.540934061999412
"ENSG00000276718.1","ENSG00000276718","ENSG00000276718",-0.149348606459793,-0.661719979601704,-0.550559839632135,0.588703783307558,0.795281998755259,-0.540715369326595
"ENSG00000115419.13","ENSG00000115419","GLS",0.0645791348776402,7.40319331453867,0.550399895990946,0.588811182019631,0.795364323510817,0.540559583215479
"ENSG00000288037.1","ENSG00000288037","ENSG00000288037",-0.187260284022222,-0.654577214803144,-0.558249211933187,0.589026459423521,0.795526610498863,-0.540247354257878
"ENSG00000162849.16","ENSG00000162849","KIF26B",-0.16873727920741,-1.01162636116963,-0.556545911582839,0.589142104858432,0.795526610498863,-0.540079648907584
"ENSG00000272650.1","ENSG00000272650","ENSG00000272650",0.118727966764722,-1.8186413382297,0.549904417021244,0.58914394777302,0.795526610498863,0.540076976494133
"ENSG00000144031.12","ENSG00000144031","ANKRD53",-0.143976809438281,-1.80413621672475,-0.557161905583007,0.589153498417046,0.795526610498863,-0.540063127151439
"ENSG00000115317.12","ENSG00000115317","HTRA2",0.0930401286575204,4.07170154585369,0.556873658358785,0.589163662062797,0.795526610498863,0.540048389011681
"ENSG00000125844.16","ENSG00000125844","RRBP1",-0.0588403053871346,6.79640758132269,-0.549766799804449,0.589236388779195,0.795527019469712,-0.539942932588715
"ENSG00000179978.11","ENSG00000179978","NAIPP2",-0.087050069101533,3.44008794356128,-0.549736265637971,0.589256900344358,0.795527019469712,-0.539913191147807
"ENSG00000154978.13","ENSG00000154978","VOPP1",0.045677425820683,7.68644488800489,0.556103763863031,0.589311231046586,0.795537634089068,0.539834414807638
"ENSG00000066583.12","ENSG00000066583","ISOC1",-0.0469034045940167,3.34240870296043,-0.556170260786475,0.589359977564361,0.79554070928817,-0.539763738059449
"ENSG00000175198.17","ENSG00000175198","PCCA",-0.0714212316689293,4.92666931018722,-0.549489158738114,0.589422909487795,0.79556293049756,-0.539672498119603
